"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Goldschmidt, Paul","502671","NA","3","First Baseman","169","169","0","0","0","0","0","0","0","0","70.5","67.3",,,,,,,,,"67.3"
"Freeman, Freddie","518692","NA","3","First Baseman","389","389","0","0","0","0","0","0","0","0","83.8","80.3",,,,,,,,,"80.3"
"Vargas, Ildemaro","545121","NA","3","First Baseman","283","170","110","3","0","0","0","0","113","0","77.8","74.8","73.4",,,,,,"75.3",,"75.3"
"Harper, Bryce","547180","NA","3","First Baseman","185","185","0","0","0","0","0","0","0","0","90.6","88.2",,,,,,,,,"88.2"
"Walker, Christian","572233","NA","3","First Baseman","234","234","0","0","0","0","0","0","0","0","72.5","72",,,,,,,,,"72"
"Contreras, Willson","575929","NA","3","First Baseman","344","344","0","0","0","0","0","0","0","0","85","83.7",,,,,,,,,"83.7"
"Olson, Matt","621566","NA","3","First Baseman","386","386","0","0","0","0","0","0","0","0","87.8","84.3",,,,,,,,,"84.3"
"Alonso, Pete","624413","NA","3","First Baseman","385","385","0","0","0","0","0","0","0","0","76.8","75.1",,,,,,,,,"75.1"
"Bauers, Jake","641343","NA","3","First Baseman","231","198","0","0","0","22","0","11","0","33","92.6","77.1",,,,,,,,,"77.1"
"Devers, Rafael","646240","NA","3","First Baseman","311","311","0","0","0","0","0","0","0","0","82.6","80.1",,,,,,,,,"80.1"
"Naylor, Josh","647304","NA","3","First Baseman","297","297","0","0","0","0","0","0","0","0","82.6","82.1",,,,,,,,,"82.1"
"Hoskins, Rhys","656555","NA","3","First Baseman","165","165","0","0","0","0","0","0","0","0","71.5","69.5",,,,,,,,,"69.5"
"Sheets, Gavin","657757","NA","3","First Baseman","183","155","0","0","0","28","0","0","0","28","90.7","76.6",,,,,,,,,"76.6"
"France, Ty","664034","NA","3","First Baseman","215","211","0","4","0","0","0","0","4","0","77.2","75.2",,,,,,,,,"75.2"
"Clemens, Kody","665019","NA","3","First Baseman","219","148","11","0","0","16","14","30","11","60","87.3","80.5",,,,,,,,"85.1","85.1"
"Guerrero Jr., Vladimir","665489","NA","3","First Baseman","325","325","0","0","0","0","0","0","0","0","83","77.6",,,,,,,,,"77.6"
"Aranda, Jonathan","666018","NA","3","First Baseman","221","221","0","0","0","0","0","0","0","0","82.5","80.7",,,,,,,,,"80.7"
"Vientos, Mark","668901","NA","3","First Baseman","249","249","0","0","0","0","0","0","0","0","80.3","79.2",,,,,,,,,"79.2"
"Burger, Jake","669394","NA","3","First Baseman","322","322","0","0","0","0","0","0","0","0","82.5","73.2",,,,,,,,,"73.2"
"García Jr., Luis","671277","NA","3","First Baseman","167","167","0","0","0","0","0","0","0","0","79.6","79.5",,,,,,,,,"79.5"
"Burleson, Alec","676475","NA","3","First Baseman","273","273","0","0","0","0","0","0","0","0","77.7","75.6",,,,,,,,,"75.6"
"Torkelson, Spencer","679529","NA","3","First Baseman","389","389","0","0","0","0","0","0","0","0","73","69.6",,,,,,,,,"69.6"
"Rumfield, TJ","681198","NA","3","First Baseman","212","212","0","0","0","0","0","0","0","0","70.5","68.8",,,,,,,,,"68.8"
"Norby, Connor","681393","NA","3","First Baseman","159","144","0","15","0","0","0","0","15","0","82.6","79.2",,,,,,,,,"79.2"
"Busch, Michael","683737","NA","3","First Baseman","362","362","0","0","0","0","0","0","0","0","75.7","72.6",,,,,,,,,"72.6"
"Pasquantino, Vinnie","686469","NA","3","First Baseman","260","260","0","0","0","0","0","0","0","0","67.8","65",,,,,,,,,"65"
"Grissom, Vaughn","687093","NA","3","First Baseman","142","44","77","21","0","0","0","0","98","0","92.5",,"82.8",,,,,,"86.2",,"86.2"
"Horwitz, Spencer","687462","NA","3","First Baseman","265","265","0","0","0","0","0","0","0","0","75","74.6",,,,,,,,,"74.6"
"Schanuel, Nolan","694384","NA","3","First Baseman","217","217","0","0","0","0","0","0","0","0","76.8","74",,,,,,,,,"74"
"Rice, Ben","700250","NA","3","First Baseman","185","185","0","0","0","0","0","0","0","0","65.2","65.1",,,,,,,,,"65.1"
"Manzardo, Kyle","700932","NA","3","First Baseman","178","178","0","0","0","0","0","0","0","0","74.6","72.4",,,,,,,,,"72.4"
