"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Bolte, Henry",703607,133,"ATH","CF",22,"47","33","4.15","30.6"
"Mateo, Jorge",622761,144,"ATL","SS",31,"43","25","4.10","30.5"
"White, Eli",642201,144,"ATL","RF",32,"56","30","4.21","30.3"
"Witt Jr., Bobby",677951,118,"KC","SS",26,"117","62","4.16","30.3"
"Turner, Trea",607208,143,"PHI","SS",33,"109","49","4.24","30.1"
"McCarthy, Jake",664983,115,"COL","CF",28,"102","38","4.19","29.9"
"Buxton, Byron",621439,142,"MIN","CF",32,"79","29","4.16","29.9"
"Griffin, Konnor",804606,134,"PIT","SS",20,"93","38","4.27","29.9"
"Acuña, Luisangel",682668,145,"CWS","SS",24,"66","32","4.21","29.8"
"Troy, Tommy",694371,109,"AZ","LF",24,"34","14","4.17","29.8"
"Scott II, Victor",687363,138,"STL","CF",25,"70","29","4.16","29.7"
"Mitchell, Garrett",669003,158,"MIL","CF",27,"85","26","4.10","29.7"
"Ruiz, Esteury",665923,146,"MIA","LF",27,"24","9",,"29.7"
"Siri, Jose",642350,108,"LAA","CF",30,"28","11",,"29.7"
"Carroll, Corbin",682998,109,"AZ","RF",25,"111","32","4.12","29.7"
"Dunn, Blake",694362,113,"CIN","CF",27,"55","26","4.21","29.6"
"Simpson, Chandler",802415,139,"TB","LF",25,"151","59","3.97","29.6"
"Teodosio, Bryce",669326,108,"LAA","LF",27,"17","4","4.22","29.6"
"Nuñez, Nasim",683083,120,"WSH","2B",25,"93","32","4.14","29.6"
"Straw, Myles",664702,141,"TOR","CF",31,"49","17","4.17","29.6"
"Crawford, Justin",702222,143,"PHI","CF",22,"99","36","4.16","29.5"
"Ewing, A.J.",805999,121,"NYM","CF",21,"43","16","4.16","29.5"
"Fernandez, Jose",699912,109,"AZ","1B",22,"61","9","4.34","29.5"
"Hill, Derek",656537,143,"PHI","RF",30,"32","8","4.23","29.4"
"Smith, Cam",701358,117,"HOU","RF",23,"107","21","4.35","29.3"
"Crews, Dylan",686611,120,"WSH","RF",24,"46","3","4.26","29.3"
"Crow-Armstrong, Pete",691718,112,"CHC","CF",24,"96","19","4.27","29.3"
"Carrigg, Cole",694249,115,"COL","CF",24,"16","3",,"29.3"
"Young, Jacob",696285,120,"WSH","CF",26,"91","13","4.30","29.3"
"Mangum, Jake",663968,134,"PIT","CF",30,"90","18","4.07","29.3"
"Taylor, Samad",669392,135,"SD","LF",27,"17","2",,"29.3"
"DeLuca, Jonny",676356,139,"TB","RF",27,"60","16","4.27","29.2"
"Lile, Daylen",695734,120,"WSH","LF",23,"116","20","4.20","29.2"
"Tolbert, Tyler",686475,118,"KC","LF",28,"12",,,"29.2"
"Lockridge, Brandon",663604,158,"MIL","LF",29,"43","7","4.30","29.2"
"Hamilton, David",666152,158,"MIL","SS",28,"64","34","4.03","29.1"
"Walker, Jordan",691023,138,"STL","RF",24,"108","12","4.35","29.1"
"Duran, Jarren",680776,111,"BOS","LF",29,"91","5","4.24","29.1"
"Thomas, Lane",657041,118,"KC","CF",30,"64","5","4.38","29.1"
"Taveras, Leody",665750,110,"BAL","CF",27,"81","19","4.27","29.0"
"Shaw, Matt",807713,112,"CHC","RF",24,"47","4","4.32","29.0"
"Rafaela, Ceddanne",678882,111,"BOS","CF",25,"114","8","4.17","29.0"
"Beavers, Dylan",687637,110,"BAL","RF",24,"45",,"4.23","29.0"
"Robert Jr., Luis",673357,121,"NYM","CF",28,"38","4","4.33","29.0"
"Taylor, Tyrone",621438,121,"NYM","CF",32,"36","2","4.43","29.0"
"Peña, Jeremy",665161,117,"HOU","SS",28,"65","5","4.37","29.0"
"Duran, Ezequiel",677649,140,"TEX","SS",27,"109","9","4.26","28.9"
"Tatis Jr., Fernando",665487,135,"SD","2B",27,"113","11","4.33","28.9"
"Waldschmidt, Ryan",814439,109,"AZ","CF",23,"43","1","4.32","28.9"
"Wiemer, Joey",686894,120,"WSH","RF",27,"31","1","4.27","28.9"
"Marte, Noelvi",682622,113,"CIN","RF",24,"33","1","4.41","28.9"
"Arroyo, Edwin",695490,113,"CIN","2B",22,"19",,,"28.9"
"Cook, Billy",695257,134,"PIT","CF",27,"11","2",,"28.9"
"Trout, Mike",545361,108,"LAA","CF",34,"83","5","4.42","28.8"
"Robles, Victor",645302,136,"SEA","RF",29,"25","5","4.36","28.8"
"Rodríguez, Julio",677594,136,"SEA","CF",25,"109","14","4.33","28.8"
"Lawlar, Jordan",691783,109,"AZ","CF",23,"10","3",,"28.8"
"Merrill, Jackson",701538,135,"SD","CF",23,"97","5","4.25","28.8"
"Gelof, Zack",680869,133,"ATH","3B",26,"83","6","4.36","28.8"
